Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K
18,"[[""1.726543252183564e9""], [""1.726543252183735e9""]]","[[""1.726543252265796e9""], [""1.726543252435844e9""]]","[[0.08223199844360352], [0.2521090507507324]]",0.2521090507507324,0.006148099899291992,0.2582571506500244
19,"[[""1.72654325244334e9""], [""1.726543252443505e9""]]","[[""1.726543252523788e9""], [""1.726543252696211e9""]]","[[0.08044791221618652], [0.25270605087280273]]",0.25270605087280273,0.006011009216308594,0.25871706008911133
20,"[[""1.726543252703634e9""], [""1.726543252703816e9""]]","[[""1.726543252785956e9""], [""1.726543252964238e9""]]","[[0.0823218822479248], [0.2604219913482666]]",0.2604219913482666,0.005885124206542969,0.26630711555480957
21,"[[""1.726543252971859e9""], [""1.726543252972034e9""]]","[[""1.726543253090801e9""], [""1.726543253215776e9""]]","[[0.1189420223236084], [0.2437419891357422]]",0.2437419891357422,0.005883932113647461,0.24962592124938965
22,"[[""1.726543253223178e9""], [""1.726543253223353e9""]]","[[""1.726543253314048e9""], [""1.726543253475906e9""]]","[[0.09087014198303223], [0.25255298614501953]]",0.25255298614501953,0.005971193313598633,0.25852417945861816
23,"[[""1.726543253483452e9""], [""1.726543253483634e9""]]","[[""1.726543253560805e9""], [""1.726543253735846e9""]]","[[0.07735300064086914], [0.2522120475769043]]",0.2522120475769043,0.00592494010925293,0.2581369876861572
24,"[[""1.726543253743472e9""], [""1.726543253743646e9""]]","[[""1.726543253823969e9""], [""1.726543253995756e9""]]","[[0.08049678802490234], [0.25211000442504883]]",0.25211000442504883,0.005834102630615234,0.25794410705566406
25,"[[""1.726543254003266e9""], [""1.726543254003443e9""]]","[[""1.726543254085848e9""], [""1.72654325424794e9""]]","[[0.08258199691772461], [0.24449706077575684]]",0.24449706077575684,0.006072044372558594,0.25056910514831543
26,"[[""1.726543254255782e9""], [""1.726543254255954e9""]]","[[""1.726543254341037e9""], [""1.72654325450616e9""]]","[[0.08525514602661133], [0.25020599365234375]]",0.25020599365234375,0.005919933319091797,0.25612592697143555
27,"[[""1.726543254513933e9""], [""1.726543254514101e9""]]","[[""1.726543254590815e9""], [""1.726543254767963e9""]]","[[0.07688212394714355], [0.2538619041442871]]",0.2538619041442871,0.006116151809692383,0.2599780559539795
28,"[[""1.726543254775948e9""], [""1.726543254776131e9""]]","[[""1.726543254859107e9""], [""1.726543255025955e9""]]","[[0.08315896987915039], [0.24982404708862305]]",0.24982404708862305,0.005825042724609375,0.2556490898132324
29,"[[""1.726543255033883e9""], [""1.726543255034058e9""]]","[[""1.726543255110955e9""], [""1.726543255285909e9""]]","[[0.0770719051361084], [0.25185084342956543]]",0.25185084342956543,0.0060269832611083984,0.25787782669067383
30,"[[""1.726543255294023e9""], [""1.726543255294214e9""]]","[[""1.72654325537078e9""], [""1.726543255545913e9""]]","[[0.07675695419311523], [0.25169897079467773]]",0.25169897079467773,0.005732059478759766,0.2574310302734375
31,"[[""1.72654325555387e9""], [""1.726543255554039e9""]]","[[""1.726543255635801e9""], [""1.726543255805964e9""]]","[[0.08193111419677734], [0.251924991607666]]",0.251924991607666,0.005975008010864258,0.2578999996185303
32,"[[""1.726543255814069e9""], [""1.726543255814253e9""]]","[[""1.726543255890923e9""], [""1.726543256065914e9""]]","[[0.07685399055480957], [0.2516608238220215]]",0.2516608238220215,0.0060100555419921875,0.25767087936401367
33,"[[""1.726543256074111e9""], [""1.726543256074287e9""]]","[[""1.726543256161011e9""], [""1.726543256655764e9""]]","[[0.08689999580383301], [0.581477165222168]]",0.4,0.006088972091674805,0.4060889720916748
34,"[[""1.726543256664125e9""], [""1.726543256664295e9""]]","[[""1.726543257045769e9""], [""1.726543256907977e9""]]","[[0.38164401054382324], [0.2436821460723877]]",0.38164401054382324,0.0057201385498046875,0.38736414909362793
35,"[[""1.726543257053833e9""], [""1.726543257054007e9""]]","[[""1.72654325713105e9""], [""1.726543257316062e9""]]","[[0.07721710205078125], [0.2620549201965332]]",0.2620549201965332,0.0059719085693359375,0.26802682876586914
36,"[[""1.726543257324429e9""], [""1.726543257324624e9""]]","[[""1.726543257405794e9""], [""1.726543257575801e9""]]","[[0.08136487007141113], [0.2511768341064453]]",0.2511768341064453,0.006166219711303711,0.257343053817749
37,"[[""1.726543257584511e9""], [""1.726543257584716e9""]]","[[""1.726543257661151e9""], [""1.726543257827927e9""]]","[[0.07663989067077637], [0.243211030960083]]",0.243211030960083,0.0059468746185302734,0.24915790557861328
38,"[[""1.72654325783641e9""], [""1.726543257836579e9""]]","[[""1.726543257911004e9""], [""1.726543258085884e9""]]","[[0.07459402084350586], [0.24930500984191895]]",0.24930500984191895,0.0060617923736572266,0.25536680221557617
39,"[[""1.726543258094575e9""], [""1.726543258094772e9""]]","[[""1.72654325818481e9""], [""1.726543258345851e9""]]","[[0.09023499488830566], [0.25107884407043457]]",0.25107884407043457,0.0060939788818359375,0.2571728229522705
40,"[[""1.726543258355351e9""], [""1.726543258355541e9""]]","[[""1.726543258435964e9""], [""1.726543258598315e9""]]","[[0.0806131362915039], [0.24277400970458984]]",0.24277400970458984,0.006247043609619141,0.24902105331420898
41,"[[""1.726543258607527e9""], [""1.726543258607825e9""]]","[[""1.726543258688753e9""], [""1.726543258847747e9""]]","[[0.08122587203979492], [0.23992204666137695]]",0.23992204666137695,0.00657200813293457,0.24649405479431152
42,"[[""1.726543258857112e9""], [""1.726543258857341e9""]]","[[""1.726543258930801e9""], [""1.72654325911605e9""]]","[[0.07368898391723633], [0.2587089538574219]]",0.2587089538574219,0.007462978363037109,0.266171932220459
