Iteration,TX_Time,RX_Time,Delay,D_K,Delay_cc,T_K
25,"[[""1.727122804069857e9""], [""1.727122804070032e9""]]","[[""1.727122804153915e9""], [""1.727122804325604e9""]]","[[0.08405804634094238], [0.2555720806121826]]",0.2555720806121826,0.005903959274291992,0.2614760398864746
26,"[[""1.727122804333333e9""], [""1.727122804333518e9""]]","[[""1.727122804407785e9""], [""1.727122804589919e9""]]","[[0.07445192337036133], [0.25640106201171875]]",0.25640106201171875,0.0063018798828125,0.26270294189453125
27,"[[""1.727122804598082e9""], [""1.727122804598284e9""]]","[[""1.727122804688842e9""], [""1.727122804849767e9""]]","[[0.0907599925994873], [0.2514829635620117]]",0.2514829635620117,0.0061070919036865234,0.25759005546569824
28,"[[""1.727122804857841e9""], [""1.727122804858027e9""]]","[[""1.727122804932863e9""], [""1.727122805099941e9""]]","[[0.07502198219299316], [0.2419140338897705]]",0.2419140338897705,0.008447885513305664,0.25036191940307617
29,"[[""1.727122805110402e9""], [""1.727122805110575e9""]]","[[""1.727122805185939e9""], [""1.727122805509744e9""]]","[[0.07553696632385254], [0.3991689682006836]]",0.3991689682006836,0.006395101547241211,0.4055640697479248
30,"[[""1.727122805518173e9""], [""1.727122805518351e9""]]","[[""1.727122805777606e9""], [""1.727122805765836e9""]]","[[0.2594330310821533], [0.24748492240905762]]",0.2594330310821533,0.0059740543365478516,0.26540708541870117
31,"[[""1.727122805785834e9""], [""1.727122805786022e9""]]","[[""1.727122805857701e9""], [""1.72712280602183e9""]]","[[0.07186698913574219], [0.2358081340789795]]",0.2358081340789795,0.0058078765869140625,0.24161601066589355
32,"[[""1.727122806029883e9""], [""1.727122806030059e9""]]","[[""1.727122806102933e9""], [""1.727122806289996e9""]]","[[0.07305002212524414], [0.2599368095397949]]",0.2599368095397949,0.00666499137878418,0.2666018009185791
33,"[[""1.727122806299004e9""], [""1.727122806299199e9""]]","[[""1.727122806381061e9""], [""1.727122806541916e9""]]","[[0.08205699920654297], [0.24271678924560547]]",0.24271678924560547,0.006092071533203125,0.2488088607788086
34,"[[""1.727122806550423e9""], [""1.727122806550597e9""]]","[[""1.727122806621007e9""], [""1.727122806807657e9""]]","[[0.07058405876159668], [0.25706005096435547]]",0.25706005096435547,0.0058519840240478516,0.2629120349884033
35,"[[""1.727122806816123e9""], [""1.727122806816306e9""]]","[[""1.727122806895964e9""], [""1.7271228070517e9""]]","[[0.07984089851379395], [0.23539400100708008]]",0.23539400100708008,0.0066699981689453125,0.2420639991760254
36,"[[""1.727122807061174e9""], [""1.727122807061354e9""]]","[[""1.727122807140801e9""], [""1.72712280731216e9""]]","[[0.07962703704833984], [0.2508060932159424]]",0.2508060932159424,0.006875038146972656,0.25768113136291504
37,"[[""1.727122807321806e9""], [""1.72712280732202e9""]]","[[""1.727122807392806e9""], [""1.727122807579672e9""]]","[[0.0710000991821289], [0.25765204429626465]]",0.25765204429626465,0.0073049068450927734,0.2649569511413574
38,"[[""1.727122807589716e9""], [""1.727122807589925e9""]]","[[""1.727122807677022e9""], [""1.727122807831782e9""]]","[[0.08730602264404297], [0.24185705184936523]]",0.24185705184936523,0.006323814392089844,0.24818086624145508
39,"[[""1.727122807841148e9""], [""1.727122807841327e9""]]","[[""1.727122807922818e9""], [""1.727122808085897e9""]]","[[0.08167004585266113], [0.24457001686096191]]",0.24457001686096191,0.0062410831451416016,0.2508111000061035
40,"[[""1.727122808095215e9""], [""1.727122808095429e9""]]","[[""1.727122808167736e9""], [""1.72712280833976e9""]]","[[0.07252097129821777], [0.24433112144470215]]",0.24433112144470215,0.005798816680908203,0.25012993812561035
41,"[[""1.727122808348367e9""], [""1.727122808348542e9""]]","[[""1.727122808418036e9""], [""1.727122808599663e9""]]","[[0.06966900825500488], [0.25112104415893555]]",0.25112104415893555,0.0059969425201416016,0.25711798667907715
42,"[[""1.727122808608521e9""], [""1.727122808608701e9""]]","[[""1.727122808697756e9""], [""1.727122808851885e9""]]","[[0.08923506736755371], [0.24318408966064453]]",0.24318408966064453,0.005949974060058594,0.24913406372070312
