Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.364469	1	0	1	-84.8222
0.365	1	0	1	-84.8222
0.366969	1	0	1	-84.8222
0.369469	1	0	1	-84.8222
0.37	1	0	1	-84.8222
0.371969	1	0	1	-84.8222
0.374469	1	0	1	-84.8222
0.375	1	0	1	-84.8222
0.376969	1	0	1	-84.8222
0.379469	1	0	1	-84.8222
0.38	1	0	1	-84.8222
0.381969	1	0	1	-84.8222
0.384469	1	0	1	-84.8222
0.385	1	0	1	-84.8222
0.386969	1	0	1	-84.8222
0.389469	1	0	1	-84.8222
0.39	1	0	1	-84.8222
0.391969	1	0	1	-84.8222
0.394469	1	0	1	-84.8222
0.395	1	0	1	-84.8222
0.396969	1	0	1	-84.8222
0.399469	1	0	1	-84.8222
0.4	1	0	1	-84.8222
0.400062	1	0	1	-84.8222
0.400065	1	0	1	-84.8222
0.400094	1	0	1	-84.8222
0.400096	1	0	1	-84.8222
0.400125	1	0	1	-84.8222
0.400127	1	0	1	-84.8222
0.400156	1	0	1	-84.8222
0.400158	1	0	1	-84.8222
0.401969	1	0	1	-84.8222
0.404469	1	0	1	-84.8222
0.405	1	0	1	-84.8222
0.406969	1	0	1	-84.8222
0.409469	1	0	1	-84.8222
0.41	1	0	1	-84.8222
0.411969	1	0	1	-84.8222
0.414469	1	0	1	-84.8222
0.415	1	0	1	-84.8222
0.416969	1	0	1	-84.8222
0.419469	1	0	1	-84.8222
0.42	1	0	1	-84.8222
0.421969	1	0	1	-84.8222
0.424469	1	0	1	-84.8222
0.425	1	0	1	-84.8222
0.426969	1	0	1	-84.8222
0.429469	1	0	1	-84.8222
0.43	1	0	1	-84.8222
0.431969	1	0	1	-84.8222
0.434469	1	0	1	-84.8222
0.435	1	0	1	-84.8222
0.436969	1	0	1	-84.8222
0.439469	1	0	1	-84.8222
0.44	1	0	1	-84.8222
0.441969	1	0	1	-84.8222
0.444469	1	0	1	-84.8222
0.445	1	0	1	-84.8222
0.446969	1	0	1	-84.8222
0.449469	1	0	1	-84.8222
0.45	1	0	1	-84.8222
0.451969	1	0	1	-84.8222
0.454469	1	0	1	-84.8222
0.455	1	0	1	-84.8222
0.456969	1	0	1	-84.8222
0.459469	1	0	1	-84.8222
0.46	1	0	1	-84.8222
0.461969	1	0	1	-84.8222
0.464469	1	0	1	-84.8222
0.465	1	0	1	-84.8222
0.466969	1	0	1	-84.8222
0.469469	1	0	1	-84.8222
0.47	1	0	1	-84.8222
0.471969	1	0	1	-84.8222
0.474469	1	0	1	-84.8222
0.475	1	0	1	-84.8222
0.476969	1	0	1	-84.8222
0.479469	1	0	1	-84.8222
0.48	1	0	1	-84.8222
0.481969	1	0	1	-84.8222
0.484469	1	0	1	-84.8222
0.485	1	0	1	-84.8222
0.486969	1	0	1	-84.8222
0.489469	1	0	1	-84.8222
0.49	1	0	1	-84.8222
0.491969	1	0	1	-84.8222
0.494469	1	0	1	-84.8222
0.495	1	0	1	-84.8222
0.496969	1	0	1	-84.8222
0.499469	1	0	1	-84.8222
0.5	1	0	1	-84.8222
0.501969	1	0	1	-84.8222
0.504469	1	0	1	-84.8222
0.505	1	0	1	-84.8222
0.506969	1	0	1	-84.8222
0.509469	1	0	1	-84.8222
0.51	1	0	1	-84.8222
0.511969	1	0	1	-84.8222
0.514469	1	0	1	-84.8222
0.515	1	0	1	-84.8222
0.516969	1	0	1	-84.8222
0.519469	1	0	1	-84.8222
0.52	1	0	1	-84.8222
0.521969	1	0	1	-84.8222
0.524469	1	0	1	-84.8222
0.525	1	0	1	-84.8222
0.526969	1	0	1	-84.8222
0.529469	1	0	1	-84.8222
0.53	1	0	1	-84.8222
0.531969	1	0	1	-84.8222
0.534469	1	0	1	-84.8222
0.535	1	0	1	-84.8222
0.536969	1	0	1	-84.8222
0.539469	1	0	1	-84.8222
0.54	1	0	1	-84.8222
0.541969	1	0	1	-84.8222
0.544469	1	0	1	-84.8222
0.545	1	0	1	-84.8222
0.546969	1	0	1	-84.8222
0.549469	1	0	1	-84.8222
0.55	1	0	1	-84.8222
0.551969	1	0	1	-84.8222
0.554469	1	0	1	-84.8222
0.555	1	0	1	-84.8222
0.556969	1	0	1	-84.8222
0.559469	1	0	1	-84.8222
0.56	1	0	1	-84.8222
0.561969	1	0	1	-84.8222
0.564469	1	0	1	-84.8222
0.565	1	0	1	-84.8222
0.566969	1	0	1	-84.8222
0.569469	1	0	1	-84.8222
0.57	1	0	1	-84.8222
0.571969	1	0	1	-84.8222
0.574469	1	0	1	-84.8222
0.575	1	0	1	-84.8222
0.576969	1	0	1	-84.8222
0.579469	1	0	1	-84.8222
0.58	1	0	1	-84.8222
0.581969	1	0	1	-84.8222
0.584469	1	0	1	-84.8222
0.585	1	0	1	-84.8222
0.586969	1	0	1	-84.8222
0.589469	1	0	1	-84.8222
0.59	1	0	1	-84.8222
0.591969	1	0	1	-84.8222
0.594469	1	0	1	-84.8222
0.595	1	0	1	-84.8222
0.596969	1	0	1	-84.8222
0.599469	1	0	1	-84.8222
0.6	1	0	1	-84.8222
0.601969	1	0	1	-84.8222
0.604469	1	0	1	-84.8222
0.605	1	0	1	-84.8222
0.606969	1	0	1	-84.8222
0.609469	1	0	1	-84.8222
0.61	1	0	1	-84.8222
0.611969	1	0	1	-84.8222
0.614469	1	0	1	-84.8222
0.615	1	0	1	-84.8222
0.616969	1	0	1	-84.8222
0.619469	1	0	1	-84.8222
0.62	1	0	1	-84.8222
0.621969	1	0	1	-84.8222
0.624469	1	0	1	-84.8222
0.625	1	0	1	-84.8222
0.626969	1	0	1	-84.8222
0.629469	1	0	1	-84.8222
0.63	1	0	1	-84.8222
0.631969	1	0	1	-84.8222
0.634469	1	0	1	-84.8222
0.635	1	0	1	-84.8222
0.636969	1	0	1	-84.8222
0.639469	1	0	1	-84.8222
0.64	1	0	1	-84.8222
0.641969	1	0	1	-84.8222
0.644469	1	0	1	-84.8222
0.645	1	0	1	-84.8222
0.646969	1	0	1	-84.8222
0.649469	1	0	1	-84.8222
0.65	1	0	1	-84.8222
0.651969	1	0	1	-84.8222
0.654469	1	0	1	-84.8222
0.655	1	0	1	-84.8222
0.656969	1	0	1	-84.8222
0.659469	1	0	1	-84.8222
0.66	1	0	1	-84.8222
0.661969	1	0	1	-84.8222
0.664469	1	0	1	-84.8222
0.665	1	0	1	-84.8222
0.666969	1	0	1	-84.8222
0.669469	1	0	1	-84.8222
0.67	1	0	1	-84.8222
0.671969	1	0	1	-84.8222
0.674469	1	0	1	-84.8222
0.675	1	0	1	-84.8222
0.676969	1	0	1	-84.8222
0.679469	1	0	1	-84.8222
0.68	1	0	1	-84.8222
0.681969	1	0	1	-84.8222
0.684469	1	0	1	-84.8222
0.685	1	0	1	-84.8222
0.686969	1	0	1	-84.8222
0.689469	1	0	1	-84.8222
0.69	1	0	1	-84.8222
0.691969	1	0	1	-84.8222
0.694469	1	0	1	-84.8222
0.695	1	0	1	-84.8222
0.696969	1	0	1	-84.8222
0.699469	1	0	1	-84.8222
0.7	1	0	1	-84.8222
0.701969	1	0	1	-84.8222
0.704469	1	0	1	-84.8222
0.705	1	0	1	-84.8222
0.706969	1	0	1	-84.8222
0.709469	1	0	1	-84.8222
0.71	1	0	1	-84.8222
0.711969	1	0	1	-84.8222
0.714469	1	0	1	-84.8222
0.715	1	0	1	-84.8222
0.716969	1	0	1	-84.8222
0.719469	1	0	1	-84.8222
0.72	1	0	1	-84.8222
0.721969	1	0	1	-84.8222
0.724469	1	0	1	-84.8222
0.725	1	0	1	-84.8222
0.726969	1	0	1	-84.8222
0.729469	1	0	1	-84.8222
0.73	1	0	1	-84.8222
0.731969	1	0	1	-84.8222
0.734469	1	0	1	-84.8222
0.735	1	0	1	-84.8222
0.736969	1	0	1	-84.8222
0.739469	1	0	1	-84.8222
0.74	1	0	1	-84.8222
0.741969	1	0	1	-84.8222
0.744469	1	0	1	-84.8222
0.745	1	0	1	-84.8222
0.746969	1	0	1	-84.8222
0.749469	1	0	1	-84.8222
0.75	1	0	1	-84.8222
0.751969	1	0	1	-84.8222
0.754469	1	0	1	-84.8222
0.755	1	0	1	-84.8222
0.756969	1	0	1	-84.8222
0.759469	1	0	1	-84.8222
0.76	1	0	1	-84.8222
0.761969	1	0	1	-84.8222
0.764469	1	0	1	-84.8222
0.765	1	0	1	-84.8222
0.766969	1	0	1	-84.8222
0.769469	1	0	1	-84.8222
0.77	1	0	1	-84.8222
0.771969	1	0	1	-84.8222
0.774469	1	0	1	-84.8222
0.775	1	0	1	-84.8222
0.776969	1	0	1	-84.8222
0.779469	1	0	1	-84.8222
0.78	1	0	1	-84.8222
0.781969	1	0	1	-84.8222
0.784469	1	0	1	-84.8222
0.785	1	0	1	-84.8222
0.786969	1	0	1	-84.8222
0.789469	1	0	1	-84.8222
0.79	1	0	1	-84.8222
0.791969	1	0	1	-84.8222
0.794469	1	0	1	-84.8222
0.795	1	0	1	-84.8222
0.796969	1	0	1	-84.8222
0.799469	1	0	1	-84.8222
