% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
8.504	1	0	1	1	850	6	0	12	1	15	1	0	28	403
8.509	1	0	1	1	851	1	0	0	13	15	1	0	28	5271
8.5095	1	0	1	1	851	1	1	7	6	14	1	0	28	2433
8.604	1	0	1	1	860	6	0	12	1	15	1	0	28	403
8.609	1	0	1	1	861	1	0	0	13	15	1	0	28	5271
8.6095	1	0	1	1	861	1	1	7	6	14	1	0	28	2433
8.704	1	0	1	1	870	6	0	12	1	15	1	0	28	403
8.709	1	0	1	1	871	1	0	0	13	15	1	0	28	5271
8.7095	1	0	1	1	871	1	1	7	6	14	1	0	28	2433
8.804	1	0	1	1	880	6	0	12	1	15	1	0	28	403
8.809	1	0	1	1	881	1	0	0	13	15	1	0	28	5271
8.8095	1	0	1	1	881	1	1	7	6	14	1	0	28	2433
8.904	1	0	1	1	890	6	0	12	1	15	1	0	28	403
8.909	1	0	1	1	891	1	0	0	13	15	1	0	28	5271
8.9095	1	0	1	1	891	1	1	7	6	14	1	0	28	2433
9.004	1	0	1	1	900	6	0	12	1	15	1	0	28	403
9.009	1	0	1	1	901	1	0	0	13	15	1	0	28	5271
9.0095	1	0	1	1	901	1	1	7	6	14	1	0	28	2433
9.104	1	0	1	1	910	6	0	12	1	15	1	0	28	403
9.109	1	0	1	1	911	1	0	0	13	15	1	0	28	5271
9.1095	1	0	1	1	911	1	1	7	6	14	1	0	28	2433
9.204	1	0	1	1	920	6	0	12	1	15	1	0	28	403
9.209	1	0	1	1	921	1	0	0	13	15	1	0	28	5271
9.2095	1	0	1	1	921	1	1	7	6	14	1	0	28	2433
9.304	1	0	1	1	930	6	0	12	1	15	1	0	28	403
9.309	1	0	1	1	931	1	0	0	13	15	1	0	28	5271
9.3095	1	0	1	1	931	1	1	7	6	14	1	0	28	2433
9.404	1	0	1	1	940	6	0	12	1	15	1	0	28	403
9.409	1	0	1	1	941	1	0	0	13	15	1	0	28	5271
9.4095	1	0	1	1	941	1	1	7	6	14	1	0	28	2433
9.504	1	0	1	1	950	6	0	12	1	15	1	0	28	403
9.509	1	0	1	1	951	1	0	0	13	15	1	0	28	5271
9.5095	1	0	1	1	951	1	1	7	6	14	1	0	28	2433
9.604	1	0	1	1	960	6	0	12	1	15	1	0	28	403
9.609	1	0	1	1	961	1	0	0	13	15	1	0	28	5271
9.6095	1	0	1	1	961	1	1	7	6	14	1	0	28	2433
9.704	1	0	1	1	970	6	0	12	1	15	1	0	28	403
9.709	1	0	1	1	971	1	0	0	13	15	1	0	28	5271
9.7095	1	0	1	1	971	1	1	7	6	14	1	0	28	2433
9.804	1	0	1	1	980	6	0	12	1	15	1	0	28	403
9.809	1	0	1	1	981	1	0	0	13	15	1	0	28	5271
9.8095	1	0	1	1	981	1	1	7	6	14	1	0	28	2433
9.904	1	0	1	1	990	6	0	12	1	15	1	0	28	403
9.909	1	0	1	1	991	1	0	0	13	15	1	0	28	5271
9.9095	1	0	1	1	991	1	1	7	6	14	1	0	28	2433
10.004	1	0	1	1	1000	6	0	12	1	15	1	0	28	403
10.009	1	0	1	1	1001	1	0	0	13	15	1	0	28	5271
10.0095	1	0	1	1	1001	1	1	7	6	14	1	0	28	2433
10.104	1	0	1	1	1010	6	0	12	1	15	1	0	28	403
10.109	1	0	1	1	1011	1	0	0	13	15	1	0	28	5271
10.1095	1	0	1	1	1011	1	1	7	6	14	1	0	28	2433
10.204	1	0	1	1	1020	6	0	12	1	15	1	0	28	403
10.209	1	0	1	1	1021	1	0	0	13	15	1	0	28	5271
10.2095	1	0	1	1	1021	1	1	7	6	14	1	0	28	2433
10.304	1	0	1	1	1030	6	0	12	1	15	1	0	28	403
10.309	1	0	1	1	1031	1	0	0	13	15	1	0	28	5271
10.3095	1	0	1	1	1031	1	1	7	6	14	1	0	28	2433
10.404	1	0	1	1	1040	6	0	12	1	15	1	0	28	403
10.409	1	0	1	1	1041	1	0	0	13	15	1	0	28	5271
10.4095	1	0	1	1	1041	1	1	7	6	14	1	0	28	2433
10.504	1	0	1	1	1050	6	0	12	1	15	1	0	28	403
10.509	1	0	1	1	1051	1	0	0	13	15	1	0	28	5271
10.5095	1	0	1	1	1051	1	1	7	6	14	1	0	28	2433
10.604	1	0	1	1	1060	6	0	12	1	15	1	0	28	403
10.609	1	0	1	1	1061	1	0	0	13	15	1	0	28	5271
10.6095	1	0	1	1	1061	1	1	7	6	14	1	0	28	2433
10.704	1	0	1	1	1070	6	0	12	1	15	1	0	28	403
