Time	CellId	RNTI	BWPId	SINR(dB)
0.400065	2	1	0	21.0513
0.400096	2	1	0	21.0513
0.400127	2	1	0	21.0513
0.400158	2	1	0	21.0513
0.401971	2	1	0	21.0513
0.404471	2	1	0	21.0513
0.405002	2	1	0	21.0513
0.406971	2	1	0	21.0513
0.409471	2	1	0	21.0513
0.410002	2	1	0	21.0513
0.411971	2	1	0	21.0513
0.414471	2	1	0	21.0513
0.415002	2	1	0	21.0513
0.416971	2	1	0	21.0513
0.419471	2	1	0	21.0513
0.420002	2	1	0	21.0513
0.421971	2	1	0	21.0513
0.424471	2	1	0	21.0513
0.425002	2	1	0	21.0513
0.426971	2	1	0	21.0513
0.429471	2	1	0	21.0513
0.430002	2	1	0	21.0513
0.431971	2	1	0	21.0513
0.434471	2	1	0	21.0513
0.435002	2	1	0	21.0513
0.436971	2	1	0	21.0513
0.439471	2	1	0	21.0513
0.440002	2	1	0	21.0513
0.441971	2	1	0	21.0513
0.444471	2	1	0	21.0513
0.445002	2	1	0	21.0513
0.446971	2	1	0	21.0513
0.449471	2	1	0	21.0513
0.450002	2	1	0	21.0513
0.451971	2	1	0	21.0513
0.454471	2	1	0	21.0513
0.455002	2	1	0	21.0513
0.456971	2	1	0	21.0513
0.459471	2	1	0	21.0513
0.460002	2	1	0	21.0513
0.461971	2	1	0	21.0513
0.464471	2	1	0	21.0513
0.465002	2	1	0	21.0513
0.466971	2	1	0	21.0513
0.469471	2	1	0	21.0513
0.470002	2	1	0	21.0513
0.471971	2	1	0	21.0513
0.474471	2	1	0	21.0513
0.475002	2	1	0	21.0513
0.476971	2	1	0	21.0513
0.479471	2	1	0	21.0513
0.480002	2	1	0	21.0513
0.481971	2	1	0	21.0513
0.484471	2	1	0	21.0513
0.485002	2	1	0	21.0513
0.486971	2	1	0	21.0513
0.489471	2	1	0	21.0513
0.490002	2	1	0	21.0513
0.491971	2	1	0	21.0513
0.494471	2	1	0	21.0513
0.495002	2	1	0	21.0513
0.496971	2	1	0	21.0513
0.499471	2	1	0	21.0513
0.500002	2	1	0	21.0513
0.501971	2	1	0	21.0513
0.504471	2	1	0	21.0513
0.505002	2	1	0	21.0513
0.506971	2	1	0	21.0513
0.509471	2	1	0	21.0513
0.510002	2	1	0	21.0513
0.511971	2	1	0	21.0513
0.514471	2	1	0	21.0513
0.515002	2	1	0	21.0513
0.516971	2	1	0	21.0513
0.519471	2	1	0	21.0513
0.520002	2	1	0	21.0513
0.521971	2	1	0	21.0513
0.524471	2	1	0	21.0513
0.525002	2	1	0	21.0513
0.526971	2	1	0	21.0513
0.529471	2	1	0	21.0513
0.530002	2	1	0	21.0513
0.531971	2	1	0	21.0513
0.534471	2	1	0	21.0513
0.535002	2	1	0	21.0513
0.536971	2	1	0	21.0513
0.539471	2	1	0	21.0513
0.540002	2	1	0	21.0513
0.541971	2	1	0	21.0513
0.544471	2	1	0	21.0513
0.545002	2	1	0	21.0513
0.546971	2	1	0	21.0513
0.549471	2	1	0	21.0513
0.550002	2	1	0	21.0513
0.551971	2	1	0	21.0513
0.554471	2	1	0	21.0513
0.555002	2	1	0	21.0513
0.556971	2	1	0	21.0513
0.559471	2	1	0	21.0513
0.560002	2	1	0	21.0513
0.561971	2	1	0	21.0513
0.564471	2	1	0	21.0513
0.565002	2	1	0	21.0513
0.566971	2	1	0	21.0513
0.569471	2	1	0	21.0513
0.570002	2	1	0	21.0513
0.571971	2	1	0	21.0513
0.574471	2	1	0	21.0513
0.575002	2	1	0	21.0513
0.576971	2	1	0	21.0513
0.579471	2	1	0	21.0513
0.580002	2	1	0	21.0513
0.581971	2	1	0	21.0513
0.584471	2	1	0	21.0513
0.585002	2	1	0	21.0513
0.586971	2	1	0	21.0513
0.589471	2	1	0	21.0513
