time(s)	cellId	rnti	lcid	packetSize
16.41	2	1	3	5263
16.4105	2	1	3	378
16.505	2	1	3	395
16.51	2	1	3	5263
16.5105	2	1	3	378
16.605	2	1	3	395
16.61	2	1	3	5263
16.6105	2	1	3	378
16.705	2	1	3	395
16.71	2	1	3	5263
16.7105	2	1	3	378
16.805	2	1	3	395
16.81	2	1	3	5263
16.8105	2	1	3	378
16.905	2	1	3	395
16.91	2	1	3	5263
16.9105	2	1	3	378
17.005	2	1	3	395
17.01	2	1	3	5263
17.0105	2	1	3	378
17.105	2	1	3	395
17.11	2	1	3	5263
17.1105	2	1	3	378
17.205	2	1	3	395
17.21	2	1	3	5263
17.2105	2	1	3	378
17.305	2	1	3	395
17.31	2	1	3	5263
17.3105	2	1	3	378
17.405	2	1	3	395
17.41	2	1	3	5263
17.4105	2	1	3	378
17.505	2	1	3	395
17.51	2	1	3	5263
17.5105	2	1	3	378
17.605	2	1	3	395
17.61	2	1	3	5263
17.6105	2	1	3	378
17.705	2	1	3	395
17.71	2	1	3	5263
17.7105	2	1	3	378
17.805	2	1	3	395
17.81	2	1	3	5263
17.8105	2	1	3	378
17.905	2	1	3	395
17.91	2	1	3	5263
17.9105	2	1	3	378
18.005	2	1	3	395
18.01	2	1	3	5263
18.0105	2	1	3	378
18.105	2	1	3	395
18.11	2	1	3	5263
18.1105	2	1	3	378
18.205	2	1	3	395
18.21	2	1	3	5263
18.2105	2	1	3	378
18.305	2	1	3	395
18.31	2	1	3	5263
18.3105	2	1	3	378
18.405	2	1	3	395
18.41	2	1	3	5263
18.4105	2	1	3	378
18.505	2	1	3	395
18.51	2	1	3	5263
18.5105	2	1	3	378
18.605	2	1	3	395
18.61	2	1	3	5263
18.6105	2	1	3	378
18.705	2	1	3	395
18.71	2	1	3	5263
18.7105	2	1	3	378
18.805	2	1	3	395
18.81	2	1	3	5263
18.8105	2	1	3	378
18.905	2	1	3	395
18.91	2	1	3	5263
18.9105	2	1	3	378
19.005	2	1	3	395
19.01	2	1	3	5263
19.0105	2	1	3	378
19.105	2	1	3	395
19.11	2	1	3	5263
19.1105	2	1	3	378
19.205	2	1	3	395
19.21	2	1	3	5263
19.2105	2	1	3	378
19.305	2	1	3	395
19.31	2	1	3	5263
19.3105	2	1	3	378
19.405	2	1	3	395
19.41	2	1	3	5263
19.4105	2	1	3	378
19.505	2	1	3	395
19.51	2	1	3	5263
19.5105	2	1	3	378
19.605	2	1	3	395
19.61	2	1	3	5263
19.6105	2	1	3	378
