Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
1.71146	UL	171	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.71196	UL	171	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.71196	UL	171	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.80646	UL	180	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.80646	UL	180	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.81146	UL	181	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.81146	UL	181	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.81196	UL	181	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.81196	UL	181	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.90646	UL	190	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.90646	UL	190	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
1.91146	UL	191	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.91146	UL	191	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
1.91196	UL	191	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
1.91196	UL	191	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.00646	UL	200	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.00646	UL	200	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.01146	UL	201	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.01146	UL	201	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.01196	UL	201	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.01196	UL	201	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.10646	UL	210	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.10646	UL	210	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.11146	UL	211	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.11146	UL	211	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.11196	UL	211	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.11196	UL	211	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.20646	UL	220	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.20646	UL	220	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.21146	UL	221	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.21146	UL	221	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.21196	UL	221	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.21196	UL	221	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.30646	UL	230	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.30646	UL	230	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.31146	UL	231	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.31146	UL	231	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.31196	UL	231	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.31196	UL	231	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.40646	UL	240	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.40646	UL	240	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.41146	UL	241	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.41146	UL	241	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.41196	UL	241	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.41196	UL	241	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.50646	UL	250	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.50646	UL	250	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.51146	UL	251	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.51146	UL	251	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.51196	UL	251	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.51196	UL	251	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.60646	UL	260	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.60646	UL	260	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.61146	UL	261	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.61146	UL	261	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.61196	UL	261	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.61196	UL	261	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.70646	UL	270	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.70646	UL	270	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.71146	UL	271	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.71146	UL	271	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.71196	UL	271	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.71196	UL	271	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.80646	UL	280	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.80646	UL	280	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.81146	UL	281	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.81146	UL	281	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.81196	UL	281	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.81196	UL	281	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.90646	UL	290	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.90646	UL	290	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
2.91146	UL	291	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.91146	UL	291	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
2.91196	UL	291	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
2.91196	UL	291	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.00646	UL	300	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.00646	UL	300	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.01146	UL	301	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.01146	UL	301	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.01196	UL	301	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.01196	UL	301	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.10646	UL	310	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.10646	UL	310	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.11146	UL	311	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.11146	UL	311	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.11196	UL	311	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.11196	UL	311	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.20646	UL	320	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.20646	UL	320	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.21146	UL	321	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.21146	UL	321	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.21196	UL	321	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.21196	UL	321	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.30646	UL	330	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.30646	UL	330	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.31146	UL	331	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.31146	UL	331	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.31196	UL	331	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.31196	UL	331	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.40646	UL	340	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.40646	UL	340	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.41146	UL	341	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.41146	UL	341	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.41196	UL	341	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.41196	UL	341	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.50646	UL	350	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.50646	UL	350	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.51146	UL	351	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.51146	UL	351	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.51196	UL	351	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.51196	UL	351	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.60646	UL	360	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.60646	UL	360	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.61146	UL	361	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.61146	UL	361	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.61196	UL	361	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.61196	UL	361	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.70646	UL	370	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.70646	UL	370	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.71146	UL	371	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.71146	UL	371	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.71196	UL	371	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.71196	UL	371	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.80646	UL	380	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.80646	UL	380	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.81146	UL	381	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.81146	UL	381	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.81196	UL	381	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.81196	UL	381	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.90646	UL	390	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.90646	UL	390	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
3.91146	UL	391	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.91146	UL	391	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
3.91196	UL	391	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
3.91196	UL	391	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.00646	UL	400	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.00646	UL	400	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.01146	UL	401	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.01146	UL	401	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.01196	UL	401	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.01196	UL	401	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.10646	UL	410	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.10646	UL	410	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.11146	UL	411	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.11146	UL	411	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.11196	UL	411	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.11196	UL	411	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.20646	UL	420	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.20646	UL	420	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.21146	UL	421	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.21146	UL	421	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.21196	UL	421	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.21196	UL	421	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.30646	UL	430	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.30646	UL	430	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.31146	UL	431	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.31146	UL	431	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.31196	UL	431	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.31196	UL	431	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.40646	UL	440	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.40646	UL	440	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.41146	UL	441	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.41146	UL	441	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.41196	UL	441	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.41196	UL	441	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.50646	UL	450	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.50646	UL	450	6	0	12	1	1	01	403	28	1	0	44.8656	0	0	
4.51146	UL	451	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.51146	UL	451	1	0	0	13	1	01	5271	28	1	0	44.8656	0	0	
4.51196	UL	451	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
4.51196	UL	451	1	1	7	6	1	01	2433	28	1	0	44.8656	0	0	
